Station Name,Time Period,Avg Daily Entries,December_21_2024,Season
Braddock Road,PM Peak (3pm-7pm),0.6K,December_21_2024,Winter
Bethesda,PM Peak (3pm-7pm),2.1K,December_21_2024,Winter
Benning Road,PM Peak (3pm-7pm),0.4K,December_21_2024,Winter
Ballston-MU,PM Peak (3pm-7pm),2.3K,December_21_2024,Winter
Ashburn,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Arlington Cemetery,PM Peak (3pm-7pm),0.1K,December_21_2024,Winter
Archives,PM Peak (3pm-7pm),3.6K,December_21_2024,Winter
Anacostia,PM Peak (3pm-7pm),1.4K,December_21_2024,Winter
Addison Road,PM Peak (3pm-7pm),0.2K,December_21_2024,Winter
Woodley Park,Midday (9:30am-3pm),1.0K,December_21_2024,Winter
Wiehle-Reston East,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Wheaton,Midday (9:30am-3pm),0.5K,December_21_2024,Winter
West Hyattsville,Midday (9:30am-3pm),0.6K,December_21_2024,Winter
West Falls Church,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Waterfront,Midday (9:30am-3pm),0.9K,December_21_2024,Winter
Virginia Sq-GMU,Midday (9:30am-3pm),0.6K,December_21_2024,Winter
Vienna,Midday (9:30am-3pm),0.9K,December_21_2024,Winter
Van Ness-UDC,Midday (9:30am-3pm),1.1K,December_21_2024,Winter
Van Dorn Street,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Union Station,Midday (9:30am-3pm),3.6K,December_21_2024,Winter
U Street,Midday (9:30am-3pm),1.0K,December_21_2024,Winter
Tysons,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Twinbrook,Midday (9:30am-3pm),0.6K,December_21_2024,Winter
Tenleytown-AU,Midday (9:30am-3pm),1.3K,December_21_2024,Winter
Takoma,Midday (9:30am-3pm),0.9K,December_21_2024,Winter
Suitland,Midday (9:30am-3pm),0.6K,December_21_2024,Winter
Stadium-Armory,Midday (9:30am-3pm),0.6K,December_21_2024,Winter
Spring Hill,Midday (9:30am-3pm),0.2K,December_21_2024,Winter
Southern Ave,Midday (9:30am-3pm),0.5K,December_21_2024,Winter
Smithsonian,Midday (9:30am-3pm),0.9K,December_21_2024,Winter
Silver Spring,Midday (9:30am-3pm),1.5K,December_21_2024,Winter
Shaw-Howard U,Midday (9:30am-3pm),0.9K,December_21_2024,Winter
Shady Grove,Midday (9:30am-3pm),1.3K,December_21_2024,Winter
Rosslyn,Midday (9:30am-3pm),1.9K,December_21_2024,Winter
Ronald Reagan Washington National Airport,Midday (9:30am-3pm),2.0K,December_21_2024,Winter
Rockville,Midday (9:30am-3pm),0.6K,December_21_2024,Winter
Rhode Island Ave,Midday (9:30am-3pm),1.4K,December_21_2024,Winter
Reston Town Center,Midday (9:30am-3pm),0.2K,December_21_2024,Winter
Potomac Yard,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Potomac Ave,Midday (9:30am-3pm),0.7K,December_21_2024,Winter
Pentagon City,Midday (9:30am-3pm),2.2K,December_21_2024,Winter
Pentagon,Midday (9:30am-3pm),1.8K,December_21_2024,Winter
North Bethesda,Midday (9:30am-3pm),0.5K,December_21_2024,Winter
NoMa-Gallaudet U,Midday (9:30am-3pm),2.5K,December_21_2024,Winter
New Carrollton,Midday (9:30am-3pm),0.8K,December_21_2024,Winter
Naylor Road,Midday (9:30am-3pm),0.3K,December_21_2024,Winter
Navy Yard-Ballpark,Midday (9:30am-3pm),1.4K,December_21_2024,Winter
Mt Vernon Sq,Midday (9:30am-3pm),0.8K,December_21_2024,Winter
Morgan Boulevard,Midday (9:30am-3pm),0.2K,December_21_2024,Winter
